category,district,constituency,candidate_name,party,votes,total_votes,share_votes,unopposed
Directly Elected MP,KABERAMAIDO,KABERAMAIDO COUNTY,EWALU GABRIEL,INDEPENDENT,3445,19998,0.172267228,0
Directly Elected MP,KABERAMAIDO,KABERAMAIDO COUNTY,EPAKU ISAAC LEE,UPC,2495,19998,0.124762475,0
Directly Elected MP,KABERAMAIDO,KABERAMAIDO COUNTY,EDYAU PAUL,INDEPENDENT,682,19998,0.034103412,0
Directly Elected MP,KABERAMAIDO,KABERAMAIDO COUNTY,EDECHU SAMUEL,FDC,364,19998,0.018201821,0
Directly Elected MP,KABERAMAIDO,OCHERO COUNTY,EMIGU JULIUS PETER,FDC,4742,13498,0.351311296,0
Directly Elected MP,KABERAMAIDO,OCHERO COUNTY,ISALA ERAGU VERONICA BICHETERO,NRM,4284,13498,0.317380339,0
Directly Elected MP,KABERAMAIDO,OCHERO COUNTY,EREMU JOHN PAUL,INDEPENDENT,3553,13498,0.263224185,0
Directly Elected MP,KABERAMAIDO,OCHERO COUNTY,ERESU ELYANU JOHN,INDEPENDENT,553,13498,0.040969033,0
Directly Elected MP,KABERAMAIDO,OCHERO COUNTY,OKELLO MATHEW,INDEPENDENT,366,13498,0.027115129,0
Directly Elected MP,KAGADI,BUYAGA EAST COUNTY,MUSANA ERIC,INDEPENDENT,26239,50939,0.51510632,0
Directly Elected MP,KAGADI,BUYAGA EAST COUNTY,TWESIGE STEPHEN,NRM,24067,50939,0.472467065,0
Directly Elected MP,KAGADI,BUYAGA EAST COUNTY,ASINGWIRE BRIAN,NUP,633,50939,0.012426628,0
Directly Elected MP,KAGADI,BUYAGA WEST COUNTY,TINKASIIMIRE BARNABAS,NRM,33030,59928,0.551161408,0
Directly Elected MP,KAGADI,BUYAGA WEST COUNTY,TUMWEBAZE JOHN,INDEPENDENT,23986,59928,0.400246978,0
Directly Elected MP,KAGADI,BUYAGA WEST COUNTY,AMANYA KABAKYENGA PETER,INDEPENDENT,2912,59928,0.048591644,0
Directly Elected MP,KAKUMIRO,BUGANGAIZI EAST COUNTY,AGABA AISA,NRM,17803,33569,0.530340493,0
Directly Elected MP,KAKUMIRO,BUGANGAIZI EAST COUNTY,TWINAMASIKO ONESIMUS,INDEPENDENT,15421,33569,0.459382176,0
Directly Elected MP,KAKUMIRO,BUGANGAIZI EAST COUNTY,BWAMBALE GODWIN,NUP,224,33569,0.006672823,0
Directly Elected MP,KAKUMIRO,BUGANGAIZI EAST COUNTY,BAHATI POLITO,INDEPENDENT,100,33569,0.002978939,0
Directly Elected MP,KAKUMIRO,BUGANGAIZI EAST COUNTY,MUSINGUZI ENOTH,INDEPENDENT,21,33569,0.000625577,0
Directly Elected MP,KAKUMIRO,BUGANGAIZI SOUTH COUNTY,TUMWESIGYE JOSEPHAT,NRM,12801,26180,0.488961041,0
Directly Elected MP,KAKUMIRO,BUGANGAIZI SOUTH COUNTY,LUBEGA GEORGE WILLY,INDEPENDENT,12331,26180,0.47100839,0
Directly Elected MP,KAKUMIRO,BUGANGAIZI SOUTH COUNTY,MBAZIIRA LEONARD,NUP,1048,26180,0.040030558,0
Directly Elected MP,KAKUMIRO,BUGANGAIZI WEST COUNTY,BYAMUKAMA FRED,NRM,18879,27401,0.68898946,0
Directly Elected MP,KAKUMIRO,BUGANGAIZI WEST COUNTY,KASIRIVU ATWOOKI BALTAZAR KYAMANYWA,INDEPENDENT,7660,27401,0.279551834,0
Directly Elected MP,KAKUMIRO,BUGANGAIZI WEST COUNTY,KUSINGURA ANNET,INDEPENDENT,862,27401,0.031458706,0
Directly Elected MP,KALAKI,KALAKI COUNTY,ONGALO-OBOTE CLEMENT KENNETH,NRM,17906,34943,0.512434542,0
Directly Elected MP,KALAKI,KALAKI COUNTY,OPIO DENNIS,INDEPENDENT,11939,34943,0.341670722,0
Directly Elected MP,KALAKI,KALAKI COUNTY,ELYAU DENNIS ALFRED,FDC,4725,34943,0.135220215,0
Directly Elected MP,KALAKI,KALAKI COUNTY,OCHAN THOMAS AYEI,DP,373,34943,0.010674527,0
Directly Elected MP,KALANGALA,BUJUMBA COUNTY,MUKASA JULIUS OPONDO,INDEPENDENT,4107,10153,0.404510975,0
Directly Elected MP,KALANGALA,BUJUMBA COUNTY,BADDA FRED,NRM,3413,10153,0.336156815,0
Directly Elected MP,KALANGALA,BUJUMBA COUNTY,LUMAGA LEON JOLL LWANGA,INDEPENDENT,1389,10153,0.136806861,0
Directly Elected MP,KALANGALA,BUJUMBA COUNTY,LWANGA KINTU FRED,NUP,1218,10153,0.11996454,0
Directly Elected MP,KALANGALA,BUJUMBA COUNTY,KULAZIKULABE ANDREW,FDC,26,10153,0.002560819,0
Directly Elected MP,KALANGALA,KYAMUSWA COUNTY,KABUUSU MOSES,FDC,3863,8982,0.430082381,0
Directly Elected MP,KALANGALA,KYAMUSWA COUNTY,BIRUNGI CAROLYN NANYONDO,NRM,3471,8982,0.386439532,0
Directly Elected MP,KALANGALA,KYAMUSWA COUNTY,KAMBUGU CYRUS,NUP,1099,8982,0.122355826,0
Directly Elected MP,KALANGALA,KYAMUSWA COUNTY,MWESIGWA JOHN,INDEPENDENT,549,8982,0.061122246,0
Directly Elected MP,KALIRO,BULAMOGI COUNTY,BWIIRE SANON NADEEBA,NRM,18289,48864,0.374283731,0
Directly Elected MP,KALIRO,BULAMOGI COUNTY,BADEBYE NAMWANZA DAN,INDEPENDENT,12690,48864,0.259700388,0
Directly Elected MP,KALIRO,BULAMOGI COUNTY,MUYANGA SIMON LUTAAYA,FDC,11322,48864,0.231704324,0
Directly Elected MP,KALIRO,BULAMOGI COUNTY,LUBOGO KENNETH,INDEPENDENT,5213,48864,0.106683858,0
Directly Elected MP,KALIRO,BULAMOGI COUNTY,WALYA YONA,INDEPENDENT,1056,48864,0.021611001,0
Directly Elected MP,KALIRO,BULAMOGI COUNTY,BUYINZA BENON,INDEPENDENT,294,48864,0.0060167,0
Directly Elected MP,KALIRO,BULAMOGI NORTH WEST COUNTY,GUME FREDRICK NGOBI,NRM,10875,20203,0.538286388,0
Directly Elected MP,KALIRO,BULAMOGI NORTH WEST COUNTY,KASAJJA GEORGE PATRICK,INDEPENDENT,9057,20203,0.448299766,0
Directly Elected MP,KALIRO,BULAMOGI NORTH WEST COUNTY,NSIMBI MUZAMILU,NUP,158,20203,0.007820621,0
Directly Elected MP,KALIRO,BULAMOGI NORTH WEST COUNTY,KIIGE YUSUFU,FDC,113,20203,0.005593229,0
Directly Elected MP,KALUNGU,KALUNGU EAST COUNTY,KATABAAZI FRANCIS KATONGOLE,NUP,12198,31794,0.383657306,0
Directly Elected MP,KALUNGU,KALUNGU EAST COUNTY,SSEMPIJJA VICENT FRERRIO BAMULANGAKI,NRM,10865,31794,0.341731131,0
Directly Elected MP,KALUNGU,KALUNGU EAST COUNTY,LULE UMAR MAWIYA,INDEPENDENT,6427,31794,0.202145055,0
Directly Elected MP,KALUNGU,KALUNGU EAST COUNTY,MUGOOMA DIDAS,INDEPENDENT,2304,31794,0.0724665,0
Directly Elected MP,KALUNGU,KALUNGU WEST COUNTY,SSEWUNGU JOSEPH GONZAGA,NUP,13696,24015,0.570310235,0
Directly Elected MP,KALUNGU,KALUNGU WEST COUNTY,MUGAGGA JOSEPH,NRM,7016,24015,0.292150736,0
Directly Elected MP,KALUNGU,KALUNGU WEST COUNTY,KAKOOZA MAHAD,INDEPENDENT,2253,24015,0.093816362,0
Directly Elected MP,KALUNGU,KALUNGU WEST COUNTY,LUWUKYA ALI LUSIBA,DP,479,24015,0.019945867,0
Directly Elected MP,KALUNGU,KALUNGU WEST COUNTY,NTAMBAAZI MARGRET NABAGGALA,INDEPENDENT,384,24015,0.015990006,0
Directly Elected MP,KALUNGU,KALUNGU WEST COUNTY,MUGERWA TIMOTHY,INDEPENDENT,187,24015,0.0077868,0
Directly Elected MP,KAMPALA,KAMPALA CENTRAL DIVISION,NSEREKO MUHAMMAD,INDEPENDENT,16998,47054,0.361244529,0
Directly Elected MP,KAMPALA,KAMPALA CENTRAL DIVISION,NYANZI FRED SSENTAMU,NUP,15975,47054,0.339503556,0
Directly Elected MP,KAMPALA,KAMPALA CENTRAL DIVISION,NDILIMA BABU CEDRIC,NRM,10749,47054,0.228439659,0
Directly Elected MP,KAMPALA,KAMPALA CENTRAL DIVISION,KAIJA HAROLD SCANDRONE,FDC,1679,47054,0.035682406,0
Directly Elected MP,KAMPALA,KAMPALA CENTRAL DIVISION,MUKASA RONALD EDWARD SSENKUBUGE,ANT,1653,47054,0.035129853,0
Directly Elected MP,KAMPALA,KAWEMPE DIVISION NORTH,SSEGIRINYA MUHAMMAD,NUP,41197,65938,0.624783874,0
Directly Elected MP,KAMPALA,KAWEMPE DIVISION NORTH,SERWADDA SULAIMAN KIDANDALA,INDEPENDENT,7512,65938,0.113925204,0
Directly Elected MP,KAMPALA,KAWEMPE DIVISION NORTH,KASENGE TOM JOHNFISHER,NRM,6946,65938,0.105341382,0
Directly Elected MP,KAMPALA,KAWEMPE DIVISION NORTH,SEBAGGALA ABDULATIF SENGENDO,INDEPENDENT,3919,65938,0.059434619,0
Directly Elected MP,KAMPALA,KAWEMPE DIVISION NORTH,MUTAZINDWA MUHAMOOD,FDC,2247,65938,0.034077466,0
Directly Elected MP,KAMPALA,KAWEMPE DIVISION NORTH,SERUNKUMA SALIM,INDEPENDENT,1825,65938,0.027677516,0
Directly Elected MP,KAMPALA,KAWEMPE DIVISION NORTH,MULUMBA MATTHIAS,DP,1050,65938,0.01592405,0
Directly Elected MP,KAMPALA,KAWEMPE DIVISION NORTH,SENDAWULA ROGERS,ANT,582,65938,0.008826474,0
Directly Elected MP,KAMPALA,KAWEMPE DIVISION NORTH,NANYUNJA ROBINAH,EPU,490,65938,0.007431223,0
Directly Elected MP,KAMPALA,KAWEMPE DIVISION NORTH,BURROWS JOHN LUMU,INDEPENDENT,170,65938,0.00257818,0
Directly Elected MP,KAMPALA,KAWEMPE DIVISION SOUTH,KAZIBWE BASHIR MBAZIIRA,NUP,26855,40586,0.661681354,0
Directly Elected MP,KAMPALA,KAWEMPE DIVISION SOUTH,SOLOMON MAYANJA,NRM,6818,40586,0.167988956,0
Directly Elected MP,KAMPALA,KAWEMPE DIVISION SOUTH,MUNYAGWA SSERUNGA MUBARAK,FDC,3788,40586,0.093332678,0
Directly Elected MP,KAMPALA,KAWEMPE DIVISION SOUTH,SSEMBOGGA ROY,INDEPENDENT,1250,40586,0.030798798,0
Directly Elected MP,KAMPALA,KAWEMPE DIVISION SOUTH,MAKUREGYE NATHAN JUSTICE GAHUNGU,EPU,803,40586,0.019785147,0
Directly Elected MP,KAMPALA,KAWEMPE DIVISION SOUTH,SEBULIBA RICHARD MUTUMBA,DP,464,40586,0.011432514,0
Directly Elected MP,KAMPALA,KAWEMPE DIVISION SOUTH,TENYWA EDRISA,INDEPENDENT,240,40586,0.005913369,0
Directly Elected MP,KAMPALA,KAWEMPE DIVISION SOUTH,MAKUMBI KENNEDY STEADY JOHN,ANT,223,40586,0.005494506,0
Directly Elected MP,KAMPALA,KAWEMPE DIVISION SOUTH,LUMU JOHN BAPTIST,INDEPENDENT,77,40586,0.001897206,0
Directly Elected MP,KAMPALA,KAWEMPE DIVISION SOUTH,ANGUZU SILAS,COSEVO,68,40586,0.001675455,0
Directly Elected MP,KAMPALA,MAKINDYE DIVISION EAST,NYEKO DERRICK,NUP,20455,51080,0.400450259,0
Directly Elected MP,KAMPALA,MAKINDYE DIVISION EAST,OWOBUSINGYE KAILUKABI ELIJAH,NRM,14815,51080,0.290035248,0
Directly Elected MP,KAMPALA,MAKINDYE DIVISION EAST,KASOZI IBRAHIM BIRIBAWA,FDC,9117,51080,0.178484723,0
Directly Elected MP,KAMPALA,MAKINDYE DIVISION EAST,MABIKKE MICHAEL SSENINDE,INDEPENDENT,4352,51080,0.085199684,0
Directly Elected MP,KAMPALA,MAKINDYE DIVISION EAST,LUKANGA AMINAH NANZIRI,INDEPENDENT,592,51080,0.011589663,0
Directly Elected MP,KAMPALA,MAKINDYE DIVISION EAST,KABUYE SULAIMAN,INDEPENDENT,528,51080,0.010336727,0
Directly Elected MP,KAMPALA,MAKINDYE DIVISION EAST,SSENTAMU SAMUEL KABANDA,DP,484,51080,0.009475333,0
Directly Elected MP,KAMPALA,MAKINDYE DIVISION EAST,NKAMBO SSENUNGI DAUDI LUMBUYE,INDEPENDENT,457,51080,0.00894675,0
Directly Elected MP,KAMPALA,MAKINDYE DIVISION EAST,SEKAJUGO PAUL NICHOLAS,INDEPENDENT,280,51080,0.005481598,0
Directly Elected MP,KAMPALA,MAKINDYE DIVISION WEST,SSEWANYANA ALLAN ALOIZIOUS,NUP,18116,27825,0.651069164,0
Directly Elected MP,KAMPALA,MAKINDYE DIVISION WEST,LUBEGA ACHILLES,NRM,4358,27825,0.156621739,0
Directly Elected MP,KAMPALA,MAKINDYE DIVISION WEST,NTEGE FAROUQ,INDEPENDENT,4270,27825,0.153459117,0
Directly Elected MP,KAMPALA,MAKINDYE DIVISION WEST,LUSAGALA BOSCO,DP,501,27825,0.018005392,0
Directly Elected MP,KAMPALA,MAKINDYE DIVISION WEST,SSERUNGA ABUBAKAR,INDEPENDENT,286,27825,0.010278527,0
Directly Elected MP,KAMPALA,MAKINDYE DIVISION WEST,KYAZZE KASSIM,ANT,194,27825,0.006972147,0
Directly Elected MP,KAMPALA,MAKINDYE DIVISION WEST,KIZITO EXPERITO,INDEPENDENT,100,27825,0.00359389,0
Directly Elected MP,KAMPALA,NAKAWA DIVISION EAST,BALIMWEZO RONALD NSUBUGA,NUP,31263,52415,0.596451402,0
Directly Elected MP,KAMPALA,NAKAWA DIVISION EAST,RUHINDI FREDRICK,NRM,11720,52415,0.223600119,0
Directly Elected MP,KAMPALA,NAKAWA DIVISION EAST,KABAZIGURUKA MICHAEL ANDREW,FDC,7467,52415,0.142459214,0
Directly Elected MP,KAMPALA,NAKAWA DIVISION EAST,KATURAMU JOB MUTUNGI,INDEPENDENT,1274,52415,0.02430602,0
Directly Elected MP,KAMPALA,NAKAWA DIVISION EAST,KEENO CHARLES RONNY,DP,438,52415,0.008356387,0
Directly Elected MP,KAMPALA,NAKAWA DIVISION EAST,MUKIIBI ELISHA MUGISHA,INDEPENDENT,127,52415,0.00242297,0
Directly Elected MP,KAMPALA,NAKAWA DIVISION EAST,MBADHWE JOHN,INDEPENDENT,126,52415,0.002403892,0
Directly Elected MP,KAMPALA,NAKAWA DIVISION WEST,SSENYONYI JOEL BESEKEZI,NUP,31653,49648,0.637548327,0
Directly Elected MP,KAMPALA,NAKAWA DIVISION WEST,ZZIWA - NANTONGO MARGARET,NRM,9450,49648,0.190339997,0
Directly Elected MP,KAMPALA,NAKAWA DIVISION WEST,KAKANDE KENNETH PAUL,INDEPENDENT,2780,49648,0.055994198,0
Directly Elected MP,KAMPALA,NAKAWA DIVISION WEST,KYAMBADDE WILBERFORCE,FDC,1512,49648,0.030454399,0
Directly Elected MP,KAMPALA,NAKAWA DIVISION WEST,ACER GODFREY OKOT,INDEPENDENT,931,49648,0.018752014,0
Directly Elected MP,KAMPALA,NAKAWA DIVISION WEST,SHUKLA MUKESH BABUBHAI,INDEPENDENT,806,49648,0.01623429,0
Directly Elected MP,KAMPALA,NAKAWA DIVISION WEST,ASIIMWE ROBERT,INDEPENDENT,668,49648,0.013454721,0
Directly Elected MP,KAMPALA,NAKAWA DIVISION WEST,KATUSIIME CHRISTINE GLORIA,INDEPENDENT,479,49648,0.009647922,0
Directly Elected MP,KAMPALA,NAKAWA DIVISION WEST,KASOZI ROBERT,PPP,300,49648,0.00604254,0
Directly Elected MP,KAMPALA,NAKAWA DIVISION WEST,ISABIRYE ZACHARIA,INDEPENDENT,280,49648,0.005639703,0
Directly Elected MP,KAMPALA,NAKAWA DIVISION WEST,AISHA WANYANA,INDEPENDENT,238,49648,0.004793748,0
Directly Elected MP,KAMPALA,NAKAWA DIVISION WEST,TEBISUULA EMMANUEL SSERUMAGA,DP,196,49648,0.003947793,0
Directly Elected MP,KAMPALA,NAKAWA DIVISION WEST,KALUMBA BENJAMIN SEBULIBA,INDEPENDENT,194,49648,0.003907509,0
Directly Elected MP,KAMPALA,NAKAWA DIVISION WEST,IMONG MOIRA ANTONIA,INDEPENDENT,161,49648,0.00324283,0
Directly Elected MP,KAMPALA,RUBAGA DIVISION NORTH,KAWALYA ABUBAKER,NUP,39847,63004,0.632451892,0
Directly Elected MP,KAMPALA,RUBAGA DIVISION NORTH,KAMYA BETI TURWOMWE,NRM,14003,63004,0.222255737,0
Directly Elected MP,KAMPALA,RUBAGA DIVISION NORTH,KASIBANTE MOSES,INDEPENDENT,8032,63004,0.127483964,0
Directly Elected MP,KAMPALA,RUBAGA DIVISION NORTH,KASULE ARAFAATI SULAIMAN,FDC,500,63004,0.007936004,0
Directly Elected MP,KAMPALA,RUBAGA DIVISION NORTH,TINDYEBWA BRIAN KUSINGURA,INDEPENDENT,346,63004,0.005491715,0
Directly Elected MP,KAMPALA,RUBAGA DIVISION NORTH,KIZITO FRANCIS,DP,189,63004,0.00299981,0
Directly Elected MP,KAMPALA,RUBAGA DIVISION NORTH,SEMAYOBE NICHOLAS,INDEPENDENT,87,63004,0.001380865,0
Directly Elected MP,KAMPALA,RUBAGA DIVISION SOUTH,MUKASA ALOYSIUS TALTON GOLD,NUP,49501,80182,0.617358029,0
Directly Elected MP,KAMPALA,RUBAGA DIVISION SOUTH,NASSOLO EUGENIA,DP,12893,80182,0.160796687,0
Directly Elected MP,KAMPALA,RUBAGA DIVISION SOUTH,MALE CHARLES KENNETH,NRM,5069,80182,0.063218676,0
Directly Elected MP,KAMPALA,RUBAGA DIVISION SOUTH,KIFAMPA SIRAJE NSAMBU,JEEMA,3146,80182,0.039235737,0
Directly Elected MP,KAMPALA,RUBAGA DIVISION SOUTH,KATO LUBWAMA PAUL,INDEPENDENT,2799,80182,0.034908082,0
Directly Elected MP,KAMPALA,RUBAGA DIVISION SOUTH,MUGGA ADAM SWIFT,INDEPENDENT,2050,80182,0.025566835,0
Directly Elected MP,KAMPALA,RUBAGA DIVISION SOUTH,LUFUNYA DERICK,INDEPENDENT,1521,80182,0.018969344,0
Directly Elected MP,KAMPALA,RUBAGA DIVISION SOUTH,KEN-LUKYAMUZI JOHN,CP,931,80182,0.011611084,0
Directly Elected MP,KAMPALA,RUBAGA DIVISION SOUTH,LUBEGA SAMUEL WALTER MUKAAKU,SDP,719,80182,0.0089671,0
Directly Elected MP,KAMPALA,RUBAGA DIVISION SOUTH,BUWEMBO HABIB,FDC,629,80182,0.007844653,0
Directly Elected MP,KAMPALA,RUBAGA DIVISION SOUTH,KIYINGI DENIS,INDEPENDENT,376,80182,0.004689332,0
Directly Elected MP,KAMPALA,RUBAGA DIVISION SOUTH,NAKANWAGI GRACE,INDEPENDENT,292,80182,0.003641715,0
Directly Elected MP,KAMPALA,RUBAGA DIVISION SOUTH,SSEBUGGWAWO MBIDDE DENIS,INDEPENDENT,145,80182,0.001808386,0
Directly Elected MP,KAMPALA,RUBAGA DIVISION SOUTH,KAYEMBA MICHAEL OSCAR,INDEPENDENT,111,80182,0.001384351,0
Directly Elected MP,KAMULI,BUGABULA COUNTY NORTH,TEIRA JOHN,NRM,11181,28376,0.394030154,0
Directly Elected MP,KAMULI,BUGABULA COUNTY NORTH,MULINDWA GEORGE,INDEPENDENT,11013,28376,0.388109684,0
Directly Elected MP,KAMULI,BUGABULA COUNTY NORTH,OMONDI FLAVIA,INDEPENDENT,4205,28376,0.148188606,0
Directly Elected MP,KAMULI,BUGABULA COUNTY NORTH,NTENDE JULIUS,INDEPENDENT,803,28376,0.028298562,0
Directly Elected MP,KAMULI,BUGABULA COUNTY NORTH,BYEKWASO GEOFREY,NUP,695,28376,0.024492528,0
Directly Elected MP,KAMULI,BUGABULA COUNTY NORTH,ADEPO FRANCIS,FDC,225,28376,0.007929236,0
Directly Elected MP,KAMULI,BUGABULA COUNTY NORTH,KAWUZI SAMSON,INDEPENDENT,183,28376,0.006449112,0
Directly Elected MP,KAMULI,BUGABULA COUNTY NORTH,KITIMBO EDWARD,INDEPENDENT,71,28376,0.002502115,0
Directly Elected MP,KAMULI,BUGABULA COUNTY SOUTH,KIBALYA HENRY MAURICE,NRM,20245,39653,0.510554075,0
Directly Elected MP,KAMULI,BUGABULA COUNTY SOUTH,MUWANGUZI ANDREW,NUP,7270,39653,0.183340475,0
Directly Elected MP,KAMULI,BUGABULA COUNTY SOUTH,DHIZAALA SANON MOSES,INDEPENDENT,5970,39653,0.150556073,0
Directly Elected MP,KAMULI,BUGABULA COUNTY SOUTH,KATEGERE THOMAS,INDEPENDENT,2993,39653,0.075479791,0
Directly Elected MP,KAMULI,BUGABULA COUNTY SOUTH,WALUBO JUDE TADEO,INDEPENDENT,1305,39653,0.0329105,0
Directly Elected MP,KAMULI,BUGABULA COUNTY SOUTH,GWAIVU ROBERT,FDC,431,39653,0.010869291,0
Directly Elected MP,KAMULI,BUGABULA COUNTY SOUTH,LWALANDA GEOFFREY,INDEPENDENT,415,39653,0.010465791,0
Directly Elected MP,KAMULI,BUGABULA COUNTY SOUTH,LUNAGULA PHOOLA,INDEPENDENT,323,39653,0.008145664,0
Directly Elected MP,KAMULI,BUGABULA COUNTY SOUTH,DHIZAALA MATHOUS IBANDA,INDEPENDENT,283,39653,0.007136913,0
Directly Elected MP,KAMULI,BUGABULA COUNTY SOUTH,NSOOLI PROSSY,INDEPENDENT,262,39653,0.006607318,0
Directly Elected MP,KAMULI,BUGABULA COUNTY SOUTH,KITAMIRIKE ENOCK MICHEAL,ANT,156,39653,0.003934129,0
Directly Elected MP,KAMULI,BUZAAYA COUNTY,MUGABI MUZAALE MARTIN KISULE,NRM,19765,43041,0.459213316,0
Directly Elected MP,KAMULI,BUZAAYA COUNTY,ISANGA MUSUMBA ISAAC,INDEPENDENT,7539,43041,0.175158575,0
Directly Elected MP,KAMULI,BUZAAYA COUNTY,KINTU BAMUSIBULE PAUL,INDEPENDENT,6934,43041,0.161102206,0
Directly Elected MP,KAMULI,BUZAAYA COUNTY,KAFAMBE NICHOLAS,INDEPENDENT,2912,43041,0.06765642,0
Directly Elected MP,KAMULI,BUZAAYA COUNTY,TALIYIWULA SHARON,NUP,2627,43041,0.061034828,0
Directly Elected MP,KAMULI,BUZAAYA COUNTY,KIRENDA SAMUEL ISABIRYE,INDEPENDENT,1177,43041,0.027346019,0
Directly Elected MP,KAMULI,BUZAAYA COUNTY,MWASE DANIEL BALIBONAKI,INDEPENDENT,921,43041,0.021398202,0
Directly Elected MP,KAMULI,BUZAAYA COUNTY,NAIKOBA PROSSY,ANT,785,43041,0.018238423,0
Directly Elected MP,KAMULI,BUZAAYA COUNTY,OMAALI CHARLES,JEEMA,213,43041,0.00494877,0
Directly Elected MP,KAMULI,BUZAAYA COUNTY,WAKABI JOSEPH ABIAM,DP,104,43041,0.002416301,0
Directly Elected MP,KAMULI,BUZAAYA COUNTY,LUVUNYA MOSES MUGENYI,INDEPENDENT,64,43041,0.001486954,0
Directly Elected MP,KAMULI,KAMULI MUNICIPALITY,KAYANGA BARODA,INDEPENDENT,5911,17820,0.331705958,0
Directly Elected MP,KAMULI,KAMULI MUNICIPALITY,NAMATOVU MASTULA,NRM,5359,17820,0.300729513,0
Directly Elected MP,KAMULI,KAMULI MUNICIPALITY,BIGIRWA MOSES,NUP,5185,17820,0.290965199,0
Directly Elected MP,KAMULI,KAMULI MUNICIPALITY,MUGOYA GODFREY,INDEPENDENT,1261,17820,0.070763186,0
Directly Elected MP,KAMULI,KAMULI MUNICIPALITY,WANYANA ESTHER ELIZABETH,INDEPENDENT,104,17820,0.005836139,0
Directly Elected MP,KAMWENGE,KIBALE COUNTY,ABIGABA CUTHBERT MIREMBE,NRM,,,,1
Directly Elected MP,KAMWENGE,KIBALE EAST COUNTY,TUMWEBAZE FRANK KAGYIGYI,NRM,,,,1
Directly Elected MP,KANUNGU,KINKIZI COUNTY EAST,BARYOMUNSI CHRIS,NRM,21040,40883,0.514639318,0
Directly Elected MP,KANUNGU,KINKIZI COUNTY EAST,NKWASIBWE DEUS,INDEPENDENT,19206,40883,0.469779611,0
Directly Elected MP,KANUNGU,KINKIZI COUNTY EAST,TABARUKA ARANS,FDC,637,40883,0.015581048,0
Directly Elected MP,KANUNGU,KINKIZI COUNTY WEST,NIRINGIYIMANA JAMES RUUGI KABERUKA,NRM,31628,45640,0.692988634,0
Directly Elected MP,KANUNGU,KINKIZI COUNTY WEST,MUGABE GREGORY,INDEPENDENT,11530,45640,0.25262928,0
Directly Elected MP,KANUNGU,KINKIZI COUNTY WEST,ATUHEIRE BRIAN,FDC,1404,45640,0.03076249,0
Directly Elected MP,KANUNGU,KINKIZI COUNTY WEST,ABARIHAMWE ALVAN,INDEPENDENT,578,45640,0.012664329,0
Directly Elected MP,KANUNGU,KINKIZI COUNTY WEST,KANSIIME SPENCER,NUP,321,45640,0.007033304,0
Directly Elected MP,KANUNGU,KINKIZI COUNTY WEST,AMPUMUZA DIXON KAGURUSI,INDEPENDENT,179,45640,0.003921998,0
Directly Elected MP,KAPCHORWA,KAPCHORWA MUNICIPALITY,CHEPTORIS SAM MANGUSHO,NRM,11746,16060,0.73138231,0
Directly Elected MP,KAPCHORWA,KAPCHORWA MUNICIPALITY,KISSA MAKIRIA STEPHEN,INDEPENDENT,4314,16060,0.26861769,0
Directly Elected MP,KAPCHORWA,TINGEY COUNTY,TWALLA FADIL,NRM,10248,23930,0.428249061,0
Directly Elected MP,KAPCHORWA,TINGEY COUNTY,SOYEKWO KENNETH CHEBORION,INDEPENDENT,8891,23930,0.371542007,0
Directly Elected MP,KAPCHORWA,TINGEY COUNTY,CHEMUTAI KALIFANI,INDEPENDENT,2566,23930,0.107229419,0
Directly Elected MP,KAPCHORWA,TINGEY COUNTY,CHEROP LUKE JOSEPH,INDEPENDENT,1309,23930,0.054701213,0
Directly Elected MP,KAPCHORWA,TINGEY COUNTY,MUNGUSA WETEKA NELSON,INDEPENDENT,916,23930,0.038278311,0
Directly Elected MP,KAPELEBYONG,KAPELEBYONG COUNTY,ESENU ANTHONY ALDEN,NRM,9566,26282,0.363975346,0
Directly Elected MP,KAPELEBYONG,KAPELEBYONG COUNTY,MALINGA JOHNSON,INDEPENDENT,6184,26282,0.235294119,0
Directly Elected MP,KAPELEBYONG,KAPELEBYONG COUNTY,OCEN JULIUS,INDEPENDENT,6001,26282,0.228331178,0
Directly Elected MP,KAPELEBYONG,KAPELEBYONG COUNTY,OKITOI ERISAT ROBERT,UPC,4074,26282,0.155011028,0
Directly Elected MP,KAPELEBYONG,KAPELEBYONG COUNTY,ALOU CELESTINE,FDC,455,26282,0.017312229,0
Directly Elected MP,KAPELEBYONG,KAPELEBYONG COUNTY,ERIAKU PETER EMMANUEL,INDEPENDENT,2,26282,7.60977E-05,0
Directly Elected MP,KARENGA,DODOTH WEST COUNTY,BAATOM BEN KORYANG,NRM,5498,9791,0.561536133,0
Directly Elected MP,KARENGA,DODOTH WEST COUNTY,LOKODO SIMON,INDEPENDENT,3686,9791,0.376468182,0
Directly Elected MP,KARENGA,DODOTH WEST COUNTY,LOKONG DANIEL,INDEPENDENT,607,9791,0.061995711,0
Directly Elected MP,KARENGA,NAPORE WEST COUNTY,LOKWANG PHILIPHS ILUKOL,NRM,1824,4351,0.41921398,0
Directly Elected MP,KARENGA,NAPORE WEST COUNTY,LOLUK FIDELIS LOGWEE,INDEPENDENT,1625,4351,0.37347737,0
Directly Elected MP,KARENGA,NAPORE WEST COUNTY,IMEN DOREEN LOE,INDEPENDENT,533,4351,0.122500576,0
